underlying_symbol,contract_symbol,contract_type,strike_price,expiry_date,lot_size,spot_price,ltp,bid,ask,iv_pct,delta,gamma,theta,vega,rho,volume,open_interest,trade_date
BANKNIFTY,BANKNIFTY_20261001_50850_CE,CE,50850,2026-10-01,15,52100.0,1385.51,1385.01,1386.01,16.12,0.876,0.000176,-24.8843,14.771,8.4869,5271,19083,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_50850_PE,PE,50850,2026-10-01,15,52100.0,84.45,83.95,84.95,16.92,-0.1354,0.000178,-17.7022,15.6973,-1.3691,79331,263974,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_50900_CE,CE,50900,2026-10-01,15,52100.0,1342.15,1341.65,1342.65,16.11,0.8668,0.000185,-25.6637,15.5204,8.4036,29526,282810,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_50900_PE,PE,50900,2026-10-01,15,52100.0,91.61,91.11,92.11,16.92,-0.1447,0.000186,-18.4804,16.4188,-1.463,103843,202995,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_50950_CE,CE,50950,2026-10-01,15,52100.0,1299.27,1298.77,1299.77,16.11,0.8572,0.000194,-26.446,16.2766,8.3157,94528,271947,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_50950_PE,PE,50950,2026-10-01,15,52100.0,99.25,98.75,99.75,16.91,-0.1543,0.000195,-19.2581,17.1435,-1.5611,48357,245476,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51000_CE,CE,51000,2026-10-01,15,52100.0,1256.88,1256.38,1257.38,16.1,0.8471,0.000203,-27.2283,17.0369,8.2232,111178,263289,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51000_PE,PE,51000,2026-10-01,15,52100.0,107.4,106.9,107.9,16.91,-0.1644,0.000203,-20.0325,17.8692,-1.6634,20738,93484,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51050_CE,CE,51050,2026-10-01,15,52100.0,1215.02,1214.52,1215.52,16.09,0.8366,0.000212,-28.0074,17.7987,8.1259,34702,229425,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51050_PE,PE,51050,2026-10-01,15,52100.0,116.07,115.57,116.57,16.9,-0.1749,0.000211,-20.8005,18.5932,-1.77,155173,293345,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51100_CE,CE,51100,2026-10-01,15,52100.0,1173.71,1173.21,1174.21,16.09,0.8256,0.000222,-28.7799,18.5589,8.024,122794,244115,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51100_PE,PE,51100,2026-10-01,15,52100.0,125.29,124.79,125.79,16.89,-0.1858,0.00022,-21.559,19.313,-1.8808,9145,18362,2026-09-24 02:32:26
BANKNIFTY,BANKNIFTY_20261001_51150_CE,CE,51150,2026-10-01,15,52100.0,1132.96,1132.46,1133.46,16.08,0.8141,0.000231,-29.5424,19.3146,7.9174,37438,72861,2026-09-24 02:32:26
