underlying_symbol,contract_symbol,contract_type,strike_price,expiry_date,lot_size,spot_price,ltp,bid,ask,iv_pct,delta,gamma,theta,vega,rho,volume,open_interest,trade_date
NIFTY,NIFTY_20261001_23000_CE,CE,23000,2026-10-01,50,24250.0,1280.1,1279.6,1280.6,16.3,0.992,4e-05,-4.9086,0.7322,4.3682,18174,96205,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23000_PE,PE,23000,2026-10-01,50,24250.0,2.14,1.64,2.64,17.11,-0.0108,5e-05,-1.1228,0.957,-0.0506,36214,73603,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23050_CE,CE,23050,2026-10-01,50,24250.0,1230.63,1230.13,1231.13,16.28,0.9898,5e-05,-5.1187,0.9145,4.367,4305,9464,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23050_PE,PE,23050,2026-10-01,50,24250.0,2.76,2.26,3.26,17.1,-0.0136,6.1e-05,-1.3706,1.1708,-0.0639,34478,107185,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23100_CE,CE,23100,2026-10-01,50,24250.0,1181.3,1180.8,1181.8,16.27,0.9869,6.2e-05,-5.367,1.1321,4.3632,72154,230553,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23100_PE,PE,23100,2026-10-01,50,24250.0,3.55,3.05,4.05,17.08,-0.0171,7.4e-05,-1.6596,1.4211,-0.0801,7042,17899,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23150_CE,CE,23150,2026-10-01,50,24250.0,1132.12,1131.62,1132.62,16.25,0.9834,7.6e-05,-5.6578,1.3891,4.3562,77551,150100,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23150_PE,PE,23150,2026-10-01,50,24250.0,4.54,4.04,5.04,17.07,-0.0212,8.9e-05,-1.9933,1.7111,-0.0997,25380,222229,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23200_CE,CE,23200,2026-10-01,50,24250.0,1083.15,1082.65,1083.65,16.24,0.9791,9.2e-05,-5.995,1.6895,4.3456,19261,165239,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23200_PE,PE,23200,2026-10-01,50,24250.0,5.76,5.26,6.26,17.05,-0.0262,0.000106,-2.3749,2.0438,-0.1231,38222,219663,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23250_CE,CE,23250,2026-10-01,50,24250.0,1034.42,1033.92,1034.92,16.22,0.9739,0.000111,-6.3819,2.0368,4.3308,33807,236249,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23250_PE,PE,23250,2026-10-01,50,24250.0,7.26,6.76,7.76,17.04,-0.0322,0.000126,-2.8066,2.4218,-0.1511,36620,136346,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23300_CE,CE,23300,2026-10-01,50,24250.0,985.98,985.48,986.48,16.21,0.9676,0.000133,-6.8212,2.4339,4.311,77418,143051,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23300_PE,PE,23300,2026-10-01,50,24250.0,9.09,8.59,9.59,17.02,-0.0392,0.000148,-3.29,2.8466,-0.184,13567,51682,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23350_CE,CE,23350,2026-10-01,50,24250.0,937.9,937.4,938.4,16.2,0.9602,0.000158,-7.3145,2.8827,4.2857,46202,94975,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23350_PE,PE,23350,2026-10-01,50,24250.0,11.32,10.82,11.82,17.01,-0.0474,0.000173,-3.8253,3.3192,-0.2226,63401,125895,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23400_CE,CE,23400,2026-10-01,50,24250.0,890.22,889.72,890.72,16.18,0.9514,0.000185,-7.862,3.3841,4.2541,15061,29952,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23400_PE,PE,23400,2026-10-01,50,24250.0,13.99,13.49,14.49,16.99,-0.0569,0.0002,-4.4115,3.8393,-0.2675,62741,163888,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23450_CE,CE,23450,2026-10-01,50,24250.0,843.04,842.54,843.54,16.17,0.9412,0.000216,-8.4624,3.9376,4.2155,16470,73186,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23450_PE,PE,23450,2026-10-01,50,24250.0,17.19,16.69,17.69,16.98,-0.0679,0.00023,-5.0461,4.4052,-0.3192,6758,11565,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23500_CE,CE,23500,2026-10-01,50,24250.0,796.41,795.91,796.91,16.16,0.9293,0.000249,-9.1126,4.5413,4.1694,17089,164856,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23500_PE,PE,23500,2026-10-01,50,24250.0,21.0,20.5,21.5,16.97,-0.0805,0.000262,-5.7249,5.0141,-0.3782,37386,71632,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23550_CE,CE,23550,2026-10-01,50,24250.0,750.44,749.94,750.94,16.14,0.9157,0.000285,-9.8075,5.1912,4.1149,24825,49039,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23550_PE,PE,23550,2026-10-01,50,24250.0,25.48,24.98,25.98,16.95,-0.0947,0.000296,-6.4418,5.6615,-0.4452,61348,229498,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23600_CE,CE,23600,2026-10-01,50,24250.0,705.2,704.7,705.7,16.13,0.9003,0.000323,-10.54,5.8819,4.0517,86133,241238,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23600_PE,PE,23600,2026-10-01,50,24250.0,30.74,30.24,31.24,16.94,-0.1106,0.000332,-7.1891,6.3412,-0.5205,92452,242532,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23650_CE,CE,23650,2026-10-01,50,24250.0,660.81,660.31,661.31,16.12,0.8828,0.000363,-11.3008,6.6055,3.979,62466,134768,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23650_PE,PE,23650,2026-10-01,50,24250.0,36.85,36.35,37.35,16.93,-0.1285,0.000369,-7.9572,7.0457,-0.6045,32225,160291,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23700_CE,CE,23700,2026-10-01,50,24250.0,617.35,616.85,617.85,16.11,0.8633,0.000405,-12.0787,7.3529,3.8967,11327,73138,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23700_PE,PE,23700,2026-10-01,50,24250.0,43.92,43.42,44.42,16.91,-0.1482,0.000407,-8.7347,7.7658,-0.6975,10612,48613,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23750_CE,CE,23750,2026-10-01,50,24250.0,574.94,574.44,575.44,16.1,0.8417,0.000447,-12.8607,8.1126,3.8044,51158,157053,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23750_PE,PE,23750,2026-10-01,50,24250.0,52.04,51.54,52.54,16.9,-0.1698,0.000445,-9.5089,8.4911,-0.7996,38173,106944,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23800_CE,CE,23800,2026-10-01,50,24250.0,533.68,533.18,534.18,16.09,0.818,0.000489,-13.6319,8.8721,3.7021,78130,135547,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23800_PE,PE,23800,2026-10-01,50,24250.0,61.31,60.81,61.81,16.89,-0.1933,0.000483,-10.2659,9.21,-0.9108,25586,58144,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23850_CE,CE,23850,2026-10-01,50,24250.0,493.68,493.18,494.18,16.08,0.7922,0.00053,-14.3766,9.6174,3.5898,69676,238781,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23850_PE,PE,23850,2026-10-01,50,24250.0,71.81,71.31,72.31,16.88,-0.2187,0.000521,-10.9909,9.9101,-1.0309,26087,72271,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23900_CE,CE,23900,2026-10-01,50,24250.0,455.03,454.53,455.53,16.07,0.7644,0.00057,-15.0782,10.3338,3.4679,30570,187201,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23900_PE,PE,23900,2026-10-01,50,24250.0,83.65,83.15,84.15,16.87,-0.2459,0.000556,-11.6688,10.5784,-1.1597,31055,63130,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23950_CE,CE,23950,2026-10-01,50,24250.0,417.83,417.33,418.33,16.05,0.7347,0.000608,-15.72,11.0062,3.3367,116950,269187,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_23950_PE,PE,23950,2026-10-01,50,24250.0,96.91,96.41,97.41,16.86,-0.2748,0.000589,-12.2844,11.202,-1.2967,55764,244898,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24000_CE,CE,24000,2026-10-01,50,24250.0,382.19,381.69,382.69,16.04,0.7032,0.000642,-16.2857,11.6198,3.197,12550,87641,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24000_PE,PE,24000,2026-10-01,50,24250.0,111.67,111.17,112.17,16.85,-0.3053,0.000619,-12.8232,11.7681,-1.4412,90663,164444,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24050_CE,CE,24050,2026-10-01,50,24250.0,348.18,347.68,348.68,16.04,0.6701,0.000672,-16.7602,12.1605,3.0496,40133,100378,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24050_PE,PE,24050,2026-10-01,50,24250.0,128.01,127.51,128.51,16.84,-0.3371,0.000646,-13.2718,12.2649,-1.5925,146010,289027,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24100_CE,CE,24100,2026-10-01,50,24250.0,315.86,315.36,316.36,16.03,0.6356,0.000698,-17.1299,12.6154,2.8956,88163,176234,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24100_PE,PE,24100,2026-10-01,50,24250.0,145.98,145.48,146.48,16.83,-0.3702,0.000668,-13.6182,12.6816,-1.7495,46453,101631,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24150_CE,CE,24150,2026-10-01,50,24250.0,285.31,284.81,285.81,16.02,0.6001,0.000718,-17.3835,12.9736,2.7361,39795,296650,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24150_PE,PE,24150,2026-10-01,50,24250.0,165.63,165.13,166.13,16.82,-0.4042,0.000686,-13.8527,13.009,-1.9114,85236,221400,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24200_CE,CE,24200,2026-10-01,50,24250.0,256.57,256.07,257.07,16.01,0.5637,0.000733,-17.5124,13.2262,2.5725,28117,205961,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24200_PE,PE,24200,2026-10-01,50,24250.0,187.01,186.51,187.51,16.81,-0.4389,0.000698,-13.9677,13.2399,-2.0769,57027,96719,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24250_CE,CE,24250,2026-10-01,50,24250.0,229.67,229.17,230.17,16.0,0.5268,0.000741,-17.511,13.3672,2.4061,97512,165754,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24250_PE,PE,24250,2026-10-01,50,24250.0,210.15,209.65,210.65,16.8,-0.474,0.000706,-13.9585,13.3691,-2.2447,38499,200801,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24300_CE,CE,24300,2026-10-01,50,24250.0,204.62,204.12,205.12,15.99,0.4898,0.000743,-17.3773,13.3931,2.2385,98095,172052,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24300_PE,PE,24300,2026-10-01,50,24250.0,235.05,234.55,235.55,16.79,-0.5093,0.000707,-13.8232,13.3939,-2.4137,177892,322644,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24350_CE,CE,24350,2026-10-01,50,24250.0,181.42,180.92,181.92,15.98,0.4528,0.000738,-17.1124,13.3037,2.0712,140641,288214,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24350_PE,PE,24350,2026-10-01,50,24250.0,261.72,261.22,262.22,16.78,-0.5445,0.000703,-13.5629,13.314,-2.5825,7945,31716,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24400_CE,CE,24400,2026-10-01,50,24250.0,160.05,159.55,160.55,15.98,0.4163,0.000727,-16.7209,13.1017,1.9055,132408,288584,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24400_PE,PE,24400,2026-10-01,50,24250.0,290.13,289.63,290.63,16.78,-0.5793,0.000694,-13.1816,13.1318,-2.7499,56717,182576,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24450_CE,CE,24450,2026-10-01,50,24250.0,140.49,139.99,140.99,15.97,0.3806,0.00071,-16.2107,12.7926,1.743,93113,210677,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24450_PE,PE,24450,2026-10-01,50,24250.0,320.27,319.77,320.77,16.77,-0.6135,0.00068,-12.6862,12.8517,-2.9146,76163,176791,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24500_CE,CE,24500,2026-10-01,50,24250.0,122.68,122.18,123.18,15.96,0.3459,0.000688,-15.5923,12.3846,1.5849,146824,265479,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24500_PE,PE,24500,2026-10-01,50,24250.0,352.08,351.58,352.58,16.76,-0.6468,0.00066,-12.0858,12.4805,-3.0754,138183,235770,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24550_CE,CE,24550,2026-10-01,50,24250.0,106.57,106.07,107.07,15.96,0.3124,0.000661,-14.879,11.8879,1.4326,122896,292396,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24550_PE,PE,24550,2026-10-01,50,24250.0,385.52,385.02,386.02,16.75,-0.6789,0.000637,-11.3919,12.0268,-3.2313,17701,74066,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24600_CE,CE,24600,2026-10-01,50,24250.0,92.07,91.57,92.57,15.95,0.2805,0.000629,-14.0856,11.3149,1.287,36874,263043,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24600_PE,PE,24600,2026-10-01,50,24250.0,420.53,420.03,421.03,16.75,-0.7097,0.000609,-10.6178,11.5009,-3.3813,77533,282478,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24650_CE,CE,24650,2026-10-01,50,24250.0,79.12,78.62,79.62,15.94,0.2503,0.000594,-13.2285,10.6791,1.149,22546,41613,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24650_PE,PE,24650,2026-10-01,50,24250.0,457.02,456.52,457.52,16.74,-0.739,0.000578,-9.7779,10.9141,-3.5246,18472,86087,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24700_CE,CE,24700,2026-10-01,50,24250.0,67.61,67.11,68.11,15.94,0.222,0.000556,-12.3246,9.9946,1.0194,106991,288479,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24700_PE,PE,24700,2026-10-01,50,24250.0,494.92,494.42,495.42,16.73,-0.7667,0.000545,-8.8874,10.2787,-3.6606,41391,253132,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24750_CE,CE,24750,2026-10-01,50,24250.0,57.46,56.96,57.96,15.93,0.1956,0.000516,-11.3911,9.2762,0.8986,81568,225773,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24750_PE,PE,24750,2026-10-01,50,24250.0,534.15,533.65,534.65,16.73,-0.7926,0.000509,-7.9619,9.6072,-3.7887,114978,295050,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24800_CE,CE,24800,2026-10-01,50,24250.0,48.55,48.05,49.05,15.93,0.1713,0.000475,-10.4444,8.5382,0.7871,35689,68872,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24800_PE,PE,24800,2026-10-01,50,24250.0,574.6,574.1,575.1,16.72,-0.8167,0.000473,-7.0165,8.912,-3.9085,20410,57321,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24850_CE,CE,24850,2026-10-01,50,24250.0,40.79,40.29,41.29,15.92,0.149,0.000434,-9.5004,7.7941,0.685,12210,32336,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24850_PE,PE,24850,2026-10-01,50,24250.0,616.2,615.7,616.7,16.72,-0.839,0.000435,-6.0659,8.2054,-4.02,34114,127568,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24900_CE,CE,24900,2026-10-01,50,24250.0,34.07,33.57,34.57,15.92,0.1287,0.000393,-8.5731,7.0565,0.5922,15929,44950,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24900_PE,PE,24900,2026-10-01,50,24250.0,658.84,658.34,659.34,16.71,-0.8593,0.000398,-5.1238,7.4986,-4.1229,31290,244459,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24950_CE,CE,24950,2026-10-01,50,24250.0,28.29,27.79,28.79,15.91,0.1105,0.000353,-7.6752,6.3367,0.5086,125721,252655,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_24950_PE,PE,24950,2026-10-01,50,24250.0,702.44,701.94,702.94,16.71,-0.8779,0.000361,-4.2023,6.802,-4.2174,49350,136138,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25000_CE,CE,25000,2026-10-01,50,24250.0,23.35,22.85,23.85,15.91,0.0943,0.000315,-6.8172,5.6442,0.434,53176,231165,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25000_PE,PE,25000,2026-10-01,50,24250.0,746.89,746.39,747.39,16.71,-0.8946,0.000325,-3.3122,6.1248,-4.3036,63502,220894,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25050_CE,CE,25050,2026-10-01,50,24250.0,19.17,18.67,19.67,15.91,0.0799,0.000278,-6.0075,4.987,0.3678,106812,218478,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25050_PE,PE,25050,2026-10-01,50,24250.0,792.12,791.62,792.62,16.7,-0.9095,0.000291,-2.4623,5.4747,-4.3818,59164,197631,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25100_CE,CE,25100,2026-10-01,50,24250.0,15.63,15.13,16.13,15.9,0.0672,0.000244,-5.2526,4.371,0.3097,17154,93760,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25100_PE,PE,25100,2026-10-01,50,24250.0,838.04,837.54,838.54,16.7,-0.9228,0.000258,-1.6599,4.8581,-4.4525,65351,254048,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25150_CE,CE,25150,2026-10-01,50,24250.0,12.68,12.18,13.18,15.9,0.0562,0.000212,-4.5569,3.8006,0.259,35207,99345,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25150_PE,PE,25150,2026-10-01,50,24250.0,884.56,884.06,885.06,16.69,-0.9346,0.000227,-0.9102,4.2799,-4.516,15584,31733,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25200_CE,CE,25200,2026-10-01,50,24250.0,10.22,9.72,10.72,15.9,0.0467,0.000183,-3.9227,3.2786,0.2152,40522,169604,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25200_PE,PE,25200,2026-10-01,50,24250.0,931.62,931.12,932.12,16.69,-0.9449,0.000199,-0.217,3.7435,-4.5729,38196,133392,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25250_CE,CE,25250,2026-10-01,50,24250.0,8.19,7.69,8.69,15.89,0.0385,0.000157,-3.3508,2.8062,0.1775,18946,137417,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25250_PE,PE,25250,2026-10-01,50,24250.0,979.14,978.64,979.64,16.69,-0.9538,0.000173,0.4179,3.251,-4.6236,28909,175769,2026-09-24 02:32:25
NIFTY,NIFTY_20261001_25300_CE,CE,25300,2026-10-01,50,24250.0,6.52,6.02,7.02,15.89,0.0316,0.000133,-2.8404,2.3831,0.1455,37385,90180,2026-09-24 02:32:25
