INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,28/07/2026,00057075.00,00057389.00,00056959.00,00057176.40,000000001226700,    39839624196.00,           696870,            23229,            15167
FUTIDX    ,BANKNIFTY ,25/08/2026,00057499.00,00057567.00,00057190.00,00057396.20,000000001672110,    36032143122.00,           628020,            20934,            13457
FUTIDX    ,BANKNIFTY ,29/09/2026,00057453.80,00057950.00,00057453.80,00057793.60,000000000147870,     2250118914.00,            38940,             1298,             1095
FUTIDX    ,MIDCPNIFTY,28/07/2026,00014588.80,00014597.70,00014528.65,00014590.75,000000000749760,     6698486724.00,           459600,             3830,             2941
FUTIDX    ,MIDCPNIFTY,25/08/2026,00014590.00,00014649.25,00014560.05,00014646.30,000000001523400,     6324053352.00,           432600,             3605,             2770
FUTIDX    ,MIDCPNIFTY,29/09/2026,00014650.00,00014695.00,00014627.95,00014689.85,000000000031320,      184811946.00,            12600,              105,               84
FUTIDX    ,NIFTYNXT50,28/07/2026,00072060.00,00072498.80,00072060.00,00072446.20,000000000006600,      517355705.00,             7150,              286,              256
FUTIDX    ,NIFTYNXT50,25/08/2026,00072550.00,00072801.40,00072428.40,00072682.20,000000000011075,      481095105.00,             6625,              265,              239
FUTSTK    ,GAIL      ,28/07/2026,00000169.43,00000175.45,00000169.43,00000174.75,000000014611800,     4019462472.50,         23309300,             6566,             5690
FUTSTK    ,GAIL      ,25/08/2026,00000171.99,00000176.17,00000171.08,00000175.45,000000069942100,     4890096458.00,         28211850,             7947,             6760
FUTSTK    ,GAIL      ,29/09/2026,00000173.00,00000176.36,00000172.57,00000176.08,000000000678050,       39512636.00,           227200,               64,               59
FUTSTK    ,GLENMARK  ,28/07/2026,00002188.40,00002218.90,00002188.40,00002198.10,000000005170500,     8580699150.00,          3891000,            10376,             6012
FUTSTK    ,GLENMARK  ,25/08/2026,00002209.90,00002230.50,00002205.20,00002210.50,000000009496500,     9299534437.50,          4194750,            11186,             6662
