Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,360ONE,1132.7,1102.3,  0.02720526,  0.02091823,  0.02095430,  0.40033138,1131.6,1100.8,  0.02759537,  0.02099470,  0.02103292,  0.40183337,  0.02103292,  0.40183337
27-Jul-26,ABB,7327.5,7375.5, -0.00652930,  0.02037617,  0.02033045,  0.38841271,7331.5,7380.5, -0.00666125,  0.02043948,  0.02039370,  0.38962110,  0.02039370,  0.38962110
27-Jul-26,ABCAPITAL,400.45,393.85,  0.01661879,  0.02136572,  0.02134452,  0.40778645,399.95,393.5,  0.01625847,  0.02152711,  0.02150406,  0.41083449,  0.02150406,  0.41083449
27-Jul-26,ADANIENSOL,1703.3,1702.2,  0.00064601,  0.02737440,  0.02730596,  0.52167963,1701.2,1702.9, -0.00099880,  0.02751017,  0.02744141,  0.52426739,  0.02744141,  0.52426739
27-Jul-26,ADANIENT,3036.6,3026.4,  0.00336467,  0.02429408,  0.02423439,  0.46299735,3045,3024.1,  0.00688737,  0.02467886,  0.02462198,  0.47040228,  0.02462198,  0.47040228
27-Jul-26,ADANIGREEN,1399.7,,,  0.02925958,  0.02918726,  0.55762176,1401,1394.4,  0.00472205,  0.02942873,  0.02935696,  0.56086398,  0.02935696,  0.56086398
27-Jul-26,ADANIPORTS,1770.4,1768.3,  0.00118688,  0.01948074,  0.01943218,  0.37125124,1772.8,1770.6,  0.00124175,  0.01939738,  0.01934907,  0.36966341,  0.01943218,  0.37125124
27-Jul-26,ADANIPOWER,213.96,213.66,  0.00140312,  0.02625154,  0.02618595,  0.50028193,214.18,213.77,  0.00191611,  0.02629010,  0.02622465,  0.50102132,  0.02622465,  0.50102132
27-Jul-26,ALKEM,5613,5633.5, -0.00364558,  0.01445813,  0.01442433,  0.27557641,5606.5,5631.5, -0.00444920,  0.01448529,  0.01445233,  0.27611140,  0.01445233,  0.27611140
27-Jul-26,AMBER,7280.5,7261.5,  0.00261312,  0.02840055,  0.02833004,  0.54124466,7308.5,7281.5,  0.00370117,  0.02884746,  0.02877651,  0.54977447,  0.02877651,  0.54977447
27-Jul-26,AMBUJACEM,430.7,425.15,  0.01296974,  0.01859435,  0.01857047,  0.35478831,431.6,424.9,  0.01564539,  0.01884059,  0.01882602,  0.35967061,  0.01882602,  0.35967061
27-Jul-26,ANGELONE,304.2,307.95, -0.01225205,  0.02811283,  0.02805582,  0.53600565,305.5,308.45, -0.00960998,  0.02818106,  0.02811869,  0.53720682,  0.02811869,  0.53720682
27-Jul-26,APLAPOLLO,1849.8,1822.9,  0.01464889,  0.01757708,  0.01756355,  0.33555110,1850.1,1823.9,  0.01426263,  0.01736738,  0.01735336,  0.33153548,  0.01756355,  0.33555110
27-Jul-26,APOLLOHOSP,8843,8805.5,  0.00424966,  0.01236948,  0.01234201,  0.23579384,8849.5,8812,  0.00424653,  0.01210077,  0.01207427,  0.23067862,  0.01234201,  0.23579384
