INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    , TMPV       ,29/09/2026,331.55,332.2,330.25,331.9,6249600.0,254408480.0,768000.0,480.0,434.0
FUTSTK    ,GODREJCP  ,28/07/2026,1055.6,1079.5,1055.6,1075.6,3673500.0,3230438950.0,3016000.0,6032.0,4365.0
FUTSTK    ,ASHOKLEY  , 25/08/2026 ,,156.4,153.77,156.14,125650000.0,8990474100.0,58005000.0,11601.0,8664.0
FUTSTK    ,M&M       ,28/07/2026,3190.0,3240.3,3175.1,,6527400.0,16331712140.0,5086000.0,,16711.0
FUTSTK    ,TIINDIA   ,28/07/2026,2799.0,2869.3,2774.0,2847.2,396400.0,1742204780.0,612000.0,3060.0,2409.0
,PFC       ,,410.2,417.9,,417.3,39206700.0,8686534935.0,20974200.0,16134.0,11733.0
 FUTSTK     ,ICICIBANK ,28/07/2026,1437.5,,1429.2,,33130300.0,38884171410.0,27045900.0,38637.0,32220.0
FUTSTK    ,,28/07/2026,876.45,886.15,868.9,878.6,5428100.0,5160970500.0,,6920.0,5230.0
FUTSTK    ,NAUKRI    ,28/07/2026,1173.0,1204.1,1173.0,1193.5,5785450.0,,4719000.0,8580.0,5892.0
FUTSTK    ,IOC       , 29/09/2026 ,141.0,142.6,140.44,,,91595400.0,648375.0,133.0,122.0
FUTSTK    , RADICO     , 25/08/2026 ,,4229.0,4143.6,,633300.0,2199692745.0,525600.0,3504.0,2907.0
,GVT&D     ,25/08/2026,,4345.0,4153.0,4223.6,2395000.0,5022847975.0,1180250.0,9442.0,7607.0
FUTSTK    ,NMDC      ,25/08/2026,84.3,,83.71,83.9,302109750.0,7529975662.5,89451000.0,13252.0,5910.0
 FUTSTK     , nan , 28/07/2026 ,1156.9,1203.95,1146.35,1197.8,3293125.0,8262935250.0,6966875.0,11147.0,9441.0
 FUTSTK     ,NTPC      , 28/07/2026 ,351.8,351.95,347.6,350.3,57628500.0,,53491500.0,35661.0,19667.0
FUTSTK    ,,25/08/2026,318.0,320.8,314.8,318.6,36306425.0,4820188160.0,15171950.0,7682.0,5056.0
 FUTSTK     ,GODREJCP  ,29/09/2026,1081.0,1081.7,1075.2,1081.3,15000.0,5393700.0,5000.0,10.0,
FUTSTK    ,GODREJPROP, nan ,2047.2,2074.0,2018.0,2069.0,2671175.0,3404333432.5,1662050.0,5114.0,4289.0
FUTSTK    ,PERSISTENT, 28/07/2026 ,5235.9,5356.5,5235.9,5289.1,,7355961687.5,1389875.0,11119.0,9377.0
FUTSTK    ,,,1124.9,1143.0,1124.9,1141.6,15000.0,7109937.5,6250.0,10.0,10.0
FUTSTK    ,CGPOWER   ,,891.0,891.0,879.0,888.9,1190000.0,68498567.5,77350.0,91.0,80.0
,BHARATFORG,29/09/2026,2179.7,2203.0,2171.0,2202.0,40000.0,72167700.0,33000.0,66.0,45.0
FUTSTK    , BAJAJHLDNG ,29/09/2026,10730.0,10890.0,10700.0,10890.0,2400.0,8062950.0,750.0,10.0,
 FUTSTK     ,NBCC      , 28/07/2026 ,94.5,95.98,94.5,95.01,47346000.0,3967846350.0,41704000.0,6416.0,3270.0
