Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,DABUR,,423.2,0.00975847,0.01463672,0.01461626,0.27924321,426.95,423.05,0.00917653,0.01472221,0.01469957,0.28083488,0.01469957,0.28083488
  27-Jul-26  ,APOLLOHOSP,8843.0,8805.5,0.00424966,0.01236948,0.01234201,0.23579384,8849.5,8812.0,0.00424653,0.01210077,0.01207427,0.23067862,0.01234201,0.23579384
27-Jul-26,NHPC,79.72,79.39,0.00414808,0.01779025,0.01774806,0.33907618,79.76,79.0,0.00957427,0.01786183,0.01782984,0.34063858,0.01782984,0.34063858
27-Jul-26,  IEX  ,126.76,124.26,0.01991939,0.0248732,0.02485097,0.47477704,126.93,124.48,0.01949069,0.0250725,0.02504768,,0.02504768,0.47853526
27-Jul-26,PERSISTENT,,,0.01630596,0.02336776,0.02333772,0.44586651,5289.1,5201.4,0.01672028,0.02354077,0.02351164,,0.02351164,0.44918916
27-Jul-26,GMRAIRPORT,108.0,107.12,0.00818153,0.02019352,0.02015132,0.38499047,108.22,107.08,0.01058997,0.02047465,0.02043709,0.39045007,0.02043709,0.39045007
27-Jul-26,  HINDPETRO  ,,381.1,0.03303526,0.02313142,0.02319141,0.4430712,,382.5,0.03203052,0.02309174,0.02314506,0.44218568,,
27-Jul-26,  BLUESTARCO  ,1643.2,1637.2,0.00365809,0.02121342,0.02116192,0.40429791,1648.4,,0.00358565,0.021512,0.02145974,0.40998775,0.02145974,0.40998775
  27-Jul-26  ,  ADANIENSOL  ,1703.3,1702.2,0.00064601,0.0273744,0.02730596,,1701.2,,-0.0009988,0.02751017,0.02744141,0.52426739,0.02744141,0.52426739
27-Jul-26,LICHSGFIN,551.75,538.95,0.02347224,0.01719956,0.01723646,,553.3,538.25,0.02757721,0.01740682,0.01747248,0.33381124,,0.33381124
